freq,siec,partner,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,G3000,THRD,PC,IT	79.48 	76.10 	78.00 	79.13 	73.13 	77.21 	83.74 	90.33 	90.40 	91.01 	90.58 	93.30 	94.11 	90.21 
A,G3000,THRD,PC,LT	99.71 	100.00 	100.00 	100.00 	100.00 	99.72 	100.00 	99.38 	99.00 	99.97 	99.12 	100.00 	100.00 	94.62 
A,G3000,THRD,PC,LU	86.40 	86.40 	86.40 	100.00 	100.00 	100.00 	100.00 	76.24 	69.68 	47.68 	57.98 	70.18 	61.15 	37.06 
A,G3000,THRD,PC,LV	61.78 	100.00 	100.00 	100.00 	72.12 	98.57 	82.89 	100.00 	98.83 	100.00 	100.00 	99.97 	22.51 	0.00 
A,G3000,THRD,PC,MD	99.84 	99.99 	99.99 	99.80 	99.99 	99.75 	99.89 	99.84 	99.99 	99.84 	99.71 	98.60 	89.51 	10.04 
A,G3000,THRD,PC,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,G3000,THRD,PC,MK	100.00 	100.00 	100.00 	100.00 	99.86 	100.00 	100.00 	100.00 	100.00 	99.96 	99.99 	99.97 	100.00 	99.97 
A,G3000,THRD,PC,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	97.19 	100.00 	100.00 	96.17 	100.00 	100.00 	93.34 
A,G3000,THRD,PC,NL	20.68 	20.26 	21.94 	21.05 	26.29 	39.17 	41.13 	29.47 	42.77 	48.07 	53.45 	46.88 	60.56 	69.00 
A,G3000,THRD,PC,PL	62.19 	61.14 	57.46 	56.19 	55.14 	53.25 	63.44 	60.45 	61.93 	60.58 	61.34 	65.87 	47.93 	73.41 
A,G3000,THRD,PC,PT	100.00 	100.00 	99.73 	100.00 	100.00 	100.00 	98.57 	100.00 	100.00 	98.47 	99.28 	100.00 	98.21 	97.53 
A,G3000,THRD,PC,RO	16.47 	19.04 	17.91 	10.85 	4.44 	1.63 	12.89 	9.79 	10.60 	7.63 	7.88 	21.11 	3.32 	0.83 
A,G3000,THRD,PC,RS	74.98 	63.95 	42.01 	78.04 	69.02 	75.25 	75.58 	81.69 	82.11 	83.76 	79.64 	78.65 	90.06 	89.41 
A,G3000,THRD,PC,SE	0.00 	0.46 	0.00 	0.00 	0.00 	0.00 	0.00 	18.39 	13.91 	14.63 	24.09 	14.96 	16.91 	18.71 
A,G3000,THRD,PC,SI	79.44 	70.83 	57.86 	57.78 	37.84 	30.88 	37.77 	24.76 	31.90 	11.68 	8.64 	14.62 	12.33 	28.14 
A,G3000,THRD,PC,SK	98.27 	97.93 	89.90 	95.35 	97.92 	95.05 	92.85 	97.40 	89.56 	98.19 	88.05 	75.19 	99.12 	98.91 
A,G3000,THRD,PC,XK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,O4000XBIO,THRD,PC,AL	59.57 	45.46 	15.57 	56.03 	52.60 	48.98 	53.66 	54.12 	23.59 	27.80 	21.80 	31.70 	40.03 	42.10 
A,O4000XBIO,THRD,PC,AT	45.08 	51.99 	53.59 	53.70 	54.33 	55.08 	50.08 	50.09 	55.39 	56.06 	54.44 	53.02 	40.16 	56.11 
A,O4000XBIO,THRD,PC,BE	70.73 	67.60 	72.84 	67.73 	71.36 	70.86 	71.49 	72.40 	71.51 	74.30 	73.25 	67.83 	68.10 	68.70 
A,O4000XBIO,THRD,PC,BG	83.44 	87.24 	85.45 	85.51 	84.55 	84.05 	86.13 	87.00 	85.75 	86.78 	82.84 	81.79 	90.85 	88.13 
A,O4000XBIO,THRD,PC,CY	52.86 	53.93 	51.39 	50.12 	36.11 	37.56 	33.34 	36.79 	38.72 	38.66 	29.19 	33.84 	44.38 	31.11 
A,O4000XBIO,THRD,PC,CZ	71.65 	66.01 	68.38 	64.59 	67.26 	64.19 	51.66 	65.53 	63.01 	65.72 	59.45 	59.91 	64.72 	64.34 
A,O4000XBIO,THRD,PC,DE	72.92 	73.74 	74.70 	73.45 	74.80 	75.03 	74.47 	73.50 	71.31 	72.05 	76.03 	74.38 	76.77 	70.47 
A,O4000XBIO,THRD,PC,DK	28.48 	34.01 	34.75 	43.55 	42.89 	50.16 	47.23 	44.60 	47.76 	55.91 	57.31 	52.65 	49.83 	52.12 
A,O4000XBIO,THRD,PC,EE	32.50 	15.96 	48.20 	25.93 	24.47 	28.06 	28.77 	33.06 	41.83 	38.83 	41.54 	39.99 	29.00 	18.25 
A,O4000XBIO,THRD,PC,EL	88.33 	83.46 	89.27 	86.18 	89.62 	90.91 	90.05 	89.73 	90.89 	88.99 	91.94 	91.05 	93.39 	91.71 
A,O4000XBIO,THRD,PC,ES	85.55 	85.55 	86.06 	85.08 	88.31 	90.94 	87.27 	86.45 	87.66 	88.93 	87.72 	85.74 	88.17 	87.19 
A,O4000XBIO,THRD,PC,FI	86.32 	92.64 	90.20 	84.34 	82.45 	81.22 	83.13 	81.13 	82.79 	81.59 	81.60 	77.40 	81.34 	74.36 
A,O4000XBIO,THRD,PC,FR	85.10 	85.18 	82.13 	82.86 	82.39 	82.35 	80.97 	82.25 	82.53 	81.51 	76.32 	75.65 	81.52 	78.86 
A,O4000XBIO,THRD,PC,GE	: 	: 	: 	51.08 	47.12 	54.89 	53.82 	62.17 	62.57 	64.17 	68.96 	65.95 	69.57 	: 
A,O4000XBIO,THRD,PC,HR	64.65 	52.38 	57.17 	61.51 	51.88 	52.40 	55.42 	52.09 	56.36 	42.65 	47.84 	57.88 	56.39 	57.51 
A,O4000XBIO,THRD,PC,HU	73.11 	75.12 	72.57 	73.50 	71.25 	67.88 	64.48 	59.56 	64.08 	61.62 	58.35 	56.61 	60.42 	57.23 
A,O4000XBIO,THRD,PC,IE	90.10 	96.60 	96.48 	88.46 	89.68 	88.90 	85.22 	84.37 	85.20 	86.35 	87.21 	79.81 	89.03 	76.67 
A,O4000XBIO,THRD,PC,IT	91.62 	89.30 	89.33 	86.41 	86.19 	87.92 	87.37 	87.28 	86.64 	88.45 	85.21 	84.52 	89.00 	87.72 
A,O4000XBIO,THRD,PC,LT	94.36 	91.80 	89.33 	90.92 	90.54 	90.15 	91.57 	92.47 	92.69 	93.25 	93.17 	93.20 	89.75 	91.66 
A,O4000XBIO,THRD,PC,LU	0.02 	0.01 	0.01 	0.00 	0.00 	0.07 	0.26 	0.74 	0.03 	0.64 	3.03 	0.05 	0.05 	0.12 
A,O4000XBIO,THRD,PC,LV	54.58 	45.21 	37.86 	34.37 	32.54 	39.51 	42.94 	40.41 	39.91 	37.74 	28.67 	26.77 	25.97 	28.92 
A,O4000XBIO,THRD,PC,MD	38.70 	51.79 	52.20 	42.92 	29.03 	28.41 	27.29 	22.44 	24.27 	16.88 	25.21 	31.40 	28.69 	44.17 
A,O4000XBIO,THRD,PC,ME	11.41 	2.34 	1.90 	1.06 	5.67 	6.22 	4.79 	0.27 	1.04 	2.58 	2.33 	12.92 	2.08 	0.34 
A,O4000XBIO,THRD,PC,MK	97.67 	97.02 	36.21 	19.94 	17.57 	18.12 	11.63 	7.09 	10.37 	11.37 	18.56 	15.56 	10.80 	7.14 
A,O4000XBIO,THRD,PC,MT	65.79 	66.81 	21.44 	38.82 	61.43 	34.91 	30.04 	59.54 	8.11 	29.46 	50.47 	38.86 	48.84 	46.83 
A,O4000XBIO,THRD,PC,NL	70.23 	68.59 	69.61 	69.59 	69.25 	70.41 	71.37 	69.87 	72.47 	70.77 	68.87 	63.38 	59.08 	59.71 
A,O4000XBIO,THRD,PC,PL	84.36 	84.82 	88.52 	86.86 	86.92 	87.74 	85.03 	84.70 	86.52 	87.45 	87.51 	83.85 	82.03 	73.02 
A,O4000XBIO,THRD,PC,PT	83.90 	84.03 	84.35 	84.07 	83.87 	86.95 	85.90 	86.42 	85.14 	78.51 	80.52 	76.81 	77.54 	79.89 
A,O4000XBIO,THRD,PC,RO	54.45 	53.56 	54.11 	53.35 	61.12 	61.52 	64.10 	65.36 	66.68 	68.44 	63.78 	65.11 	69.99 	64.13 
A,O4000XBIO,THRD,PC,RS	49.97 	42.25 	38.36 	47.20 	47.00 	51.61 	55.44 	58.23 	63.03 	57.04 	61.11 	59.30 	68.42 	66.56 
A,O4000XBIO,THRD,PC,SE	74.19 	73.69 	70.65 	71.30 	74.68 	73.65 	72.28 	71.16 	78.51 	79.92 	84.58 	74.78 	85.77 	82.94 
A,O4000XBIO,THRD,PC,SI	18.96 	19.72 	54.36 	48.42 	20.82 	15.32 	22.92 	21.80 	30.19 	29.68 	26.91 	28.72 	41.42 	39.56 
A,O4000XBIO,THRD,PC,SK	80.63 	83.95 	82.11 	81.75 	81.07 	80.54 	79.56 	74.74 	76.98 	75.72 	80.16 	76.56 	78.64 	79.44 
A,O4000XBIO,THRD,PC,XK	97.71 	23.77 	13.07 	13.29 	24.96 	22.41 	18.89 	10.55 	21.28 	33.20 	35.04 	32.38 	49.13 	49.98 
A,SFF_OTH,THRD,PC,AL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,AT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,BG	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,CY	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,CZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,DE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,DK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,EL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,ES	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,FI	0.06 	0.03 	0.34 	0.12 	0.28 	0.23 	0.29 	0.23 	0.36 	0.51 	0.43 	0.40 	0.56 	0.00 
A,SFF_OTH,THRD,PC,FR	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,GE	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
A,SFF_OTH,THRD,PC,HR	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,HU	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.19 	0.00 
A,SFF_OTH,THRD,PC,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,IT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,LT	60.21 	58.83 	56.40 	35.61 	22.63 	19.43 	19.39 	19.12 	24.81 	22.45 	11.68 	9.63 	10.95 	6.13 
A,SFF_OTH,THRD,PC,LU	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,MD	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,MK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,NL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,PL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,RO	0.00 	22.49 	0.00 	0.00 	0.53 	0.00 	0.23 	0.96 	0.42 	0.48 	0.32 	0.62 	0.49 	0.22 
A,SFF_OTH,THRD,PC,RS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,SE	1.30 	0.89 	1.25 	1.28 	0.97 	0.92 	0.74 	0.88 	1.12 	0.44 	0.02 	0.02 	0.02 	0.02 
A,SFF_OTH,THRD,PC,SI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,SK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,SFF_OTH,THRD,PC,XK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,TOTAL,THRD,PC,AL	45.91 	44.19 	20.54 	47.00 	47.90 	41.47 	41.11 	48.44 	18.12 	28.00 	23.72 	20.02 	27.83 	26.18 
A,TOTAL,THRD,PC,AT	35.51 	41.85 	38.14 	35.80 	38.89 	36.71 	37.44 	38.26 	40.49 	45.17 	37.23 	31.78 	40.70 	40.10 
A,TOTAL,THRD,PC,BE	60.10 	56.46 	58.08 	53.33 	57.91 	59.77 	56.17 	61.13 	63.64 	64.24 	63.83 	57.95 	59.80 	60.77 
A,TOTAL,THRD,PC,BG	46.15 	45.18 	45.11 	46.26 	43.31 	43.96 	45.92 	46.82 	43.76 	43.39 	38.90 	37.64 	42.78 	44.24 
A,TOTAL,THRD,PC,CY	51.45 	51.85 	49.38 	47.84 	34.28 	35.39 	31.49 	34.55 	35.95 	35.62 	26.37 	30.67 	39.62 	27.27 
A,TOTAL,THRD,PC,CZ	28.17 	28.30 	26.59 	27.41 	27.20 	27.23 	25.05 	30.52 	29.79 	32.80 	28.51 	30.08 	31.34 	31.00 
A,TOTAL,THRD,PC,DE	48.70 	49.97 	49.55 	49.92 	50.66 	51.15 	59.34 	59.80 	55.88 	58.02 	55.17 	57.44 	60.91 	48.22 
A,TOTAL,THRD,PC,DK	22.93 	31.94 	30.54 	35.61 	36.32 	39.44 	36.80 	34.51 	35.45 	38.82 	37.85 	32.00 	34.83 	48.63 
A,TOTAL,THRD,PC,EE	13.98 	10.48 	21.42 	13.04 	11.81 	11.67 	11.63 	12.48 	15.19 	14.61 	14.14 	11.10 	6.51 	3.78 
A,TOTAL,THRD,PC,EL	68.46 	64.41 	68.12 	67.64 	71.01 	73.08 	77.13 	76.22 	77.18 	76.82 	80.91 	81.00 	82.16 	80.65 
A,TOTAL,THRD,PC,ES	70.34 	71.00 	70.17 	67.40 	70.05 	71.67 	68.85 	70.05 	70.09 	70.06 	65.47 	66.65 	69.72 	66.48 
A,TOTAL,THRD,PC,FI	52.80 	57.07 	50.73 	50.15 	48.98 	45.53 	47.87 	45.63 	46.44 	45.23 	42.41 	36.50 	40.41 	34.58 
A,TOTAL,THRD,PC,FR	46.16 	46.37 	44.39 	44.00 	42.49 	42.51 	42.97 	44.90 	43.75 	44.40 	40.21 	38.90 	48.04 	42.20 
A,TOTAL,THRD,PC,GE	: 	: 	: 	52.64 	55.16 	60.88 	59.10 	63.66 	65.49 	69.89 	71.33 	68.33 	72.32 	: 
A,TOTAL,THRD,PC,HR	45.74 	33.04 	31.51 	37.96 	29.67 	33.14 	35.09 	31.05 	35.67 	26.37 	25.77 	43.07 	47.80 	48.64 
A,TOTAL,THRD,PC,HU	51.23 	48.72 	48.33 	49.88 	52.16 	46.74 	46.96 	49.45 	49.28 	52.89 	45.11 	42.36 	49.02 	43.52 
A,TOTAL,THRD,PC,IE	84.06 	86.68 	84.07 	78.46 	80.48 	80.86 	63.60 	62.96 	62.42 	64.42 	67.86 	69.90 	74.61 	66.60 
A,TOTAL,THRD,PC,IT	77.85 	76.23 	75.46 	72.62 	69.18 	72.03 	73.39 	75.17 	74.24 	74.59 	71.89 	72.58 	76.05 	72.80 
A,TOTAL,THRD,PC,LT	84.86 	83.59 	80.99 	81.29 	79.81 	79.31 	78.68 	78.18 	77.65 	78.95 	76.59 	75.39 	75.57 	75.01 
A,TOTAL,THRD,PC,LU	22.23 	19.69 	20.31 	20.67 	20.22 	18.65 	17.55 	13.10 	11.08 	8.24 	11.53 	11.69 	9.11 	5.39 
A,TOTAL,THRD,PC,LV	37.15 	41.76 	37.26 	36.85 	26.72 	34.24 	33.19 	31.94 	31.77 	29.91 	23.79 	23.18 	12.64 	10.65 
A,TOTAL,THRD,PC,MD	58.24 	59.33 	56.08 	48.82 	48.67 	51.70 	49.36 	44.31 	45.05 	44.29 	49.17 	51.42 	44.81 	34.68 
A,TOTAL,THRD,PC,ME	3.06 	0.61 	0.50 	0.28 	1.60 	1.81 	1.56 	0.10 	1.88 	0.90 	0.51 	3.39 	0.54 	0.08 
A,TOTAL,THRD,PC,MK	48.41 	49.60 	28.05 	21.45 	22.96 	22.00 	21.44 	20.47 	22.56 	14.63 	18.11 	18.66 	12.37 	12.00 
A,TOTAL,THRD,PC,MT	65.70 	66.57 	21.46 	38.60 	61.14 	33.59 	28.43 	60.46 	16.65 	35.66 	54.39 	45.10 	52.60 	50.34 
A,TOTAL,THRD,PC,NL	52.79 	52.36 	53.07 	51.80 	54.97 	60.83 	61.74 	59.62 	63.97 	63.32 	62.49 	57.26 	56.93 	58.51 
A,TOTAL,THRD,PC,PL	34.71 	35.72 	34.30 	33.12 	34.17 	35.19 	35.99 	39.21 	42.69 	42.44 	41.81 	39.76 	40.94 	42.84 
A,TOTAL,THRD,PC,PT	68.56 	69.67 	71.40 	69.91 	66.44 	71.93 	70.51 	73.75 	69.85 	65.05 	60.93 	58.90 	60.16 	57.27 
A,TOTAL,THRD,PC,RO	23.98 	24.07 	23.85 	22.42 	24.28 	23.87 	28.97 	28.75 	29.73 	30.44 	28.48 	31.75 	30.39 	27.17 
A,TOTAL,THRD,PC,RS	22.65 	18.26 	14.84 	21.66 	21.29 	23.46 	24.36 	26.59 	29.42 	27.90 	26.38 	28.59 	34.58 	33.66 
A,TOTAL,THRD,PC,SE	36.43 	35.39 	32.48 	30.97 	34.20 	33.94 	35.11 	34.40 	36.55 	33.32 	37.75 	33.98 	37.53 	36.58 
A,TOTAL,THRD,PC,SI	17.38 	15.83 	29.42 	25.99 	13.75 	11.09 	15.46 	13.84 	18.68 	17.15 	14.38 	14.67 	23.35 	22.92 
A,TOTAL,THRD,PC,SK	51.39 	53.30 	50.24 	51.44 	51.12 	50.37 	49.07 	49.93 	50.64 	54.14 	50.45 	48.03 	54.45 	52.47 
A,TOTAL,THRD,PC,XK	25.06 	6.64 	4.44 	11.72 	10.16 	8.41 	6.32 	6.96 	8.66 	12.18 	12.48 	9.03 	13.09 	15.62 
